COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
112,4170.26,4180,4183.59,4186.15,4184.62,4184.1,4187.69,4185.64,4185.64,4193.33,4237.44,4947.18,4175.9,4184.62,2044,2038,88.798,0,0,0,0,
113,4192.31,4184.1,4187.69,4186.15,4180,4176.41,4177.44,4183.59,4187.69,4191.28,4241.03,4951.79,4187.69,4194.36,2045,2038,88.805,0,0,0,0,
114,4182.05,4173.85,4182.56,4182.56,4183.59,4177.95,4178.97,4185.13,4185.64,4191.28,4236.92,4943.08,4178.97,4184.62,2045,2038,88.812,0,0,0,0,
115,4184.1,4180,4186.15,4189.74,4185.13,4184.1,4181.54,4182.56,4180.51,4191.28,4241.54,4950.26,4178.97,4188.21,2044,2038,88.82,0,0,0,0,
116,4190.77,4187.18,4183.08,4184.1,4178.46,4180.51,4177.95,4185.13,4190.77,4191.79,4243.08,4948.72,4190.26,4196.41,2044,2038,88.828,0,0,0,0,
117,4171.28,4176.92,4184.62,4183.08,4184.1,4184.1,4186.15,4182.56,4187.18,4188.72,4237.95,4943.59,4174.36,4185.13,2044,2037,88.837,0,0,0,0,
118,4193.33,4189.23,4188.72,4186.67,4180.51,4178.46,4174.36,4181.54,4184.62,4192.31,4242.56,4949.74,4190.77,4193.85,2044,2038,88.844,0,0,0,0,
119,4179.49,4181.03,4179.49,4185.13,4180.51,4180.51,4181.03,4185.64,4187.18,4194.36,4236.92,4945.64,4183.59,4189.23,2043,2038,88.853,0,0,0,0,
120,4174.87,4177.95,4184.62,4188.21,4181.54,4186.15,4184.62,4182.05,4185.64,4190.77,4239.49,4948.21,4177.44,4187.69,2044,2038,88.86,0,0,0,0,
121,4192.31,4185.64,4186.67,4184.1,4177.95,4181.54,4175.9,4183.08,4192.82,4190.77,4245.13,4946.67,4191.28,4191.79,2044,2037,88.868,0,0,0,0,
122,4173.85,4174.87,4182.05,4186.15,4184.1,4184.1,4186.15,4183.08,4186.67,4188.72,4238.46,4946.15,4175.38,4181.54,2044,2037,88.875,0,0,0,0,
123,4186.67,4185.13,4182.05,4187.18,4178.97,4177.95,4176.41,4183.08,4183.59,4190.77,4242.56,4952.31,4188.72,4194.87,2044,2037,88.884,0,0,0,0,
124,4181.03,4181.54,4181.03,4181.54,4181.03,4179.49,4179.49,4185.64,4187.69,4190.77,4242.56,4945.64,4184.1,4191.28,2044,2038,88.891,0,0,0,0,
